ID	name	species	sex	cc	cp	maT	apodeme	sp.number	sex.number	csize	sqapodeme	center.cc	center.csize	pc1	pc2
36	ABTAO6	abtao	male	20.34	12.58	0.797101449	2.24	1	2	404.035088749946	1.49666295470958	-0.913333333333334	1.37739981864598	0.0275352653748013	0.0445301532626054
37	ABTAO7	abtao	male	31.36	23.04	0.738896366	7.93	1	2	756.989082212046	2.81602556806574	10.1066666666667	354.331393280746	0.0758413366251142	0.0110400803497652
38	ABTAO8	abtao	male	24.7	15.21	0.808421053	5.56	1	2	506.618896096813	2.35796522451032	3.44666666666667	103.961207165513	0.0948652185957718	0.0162658460352342
39	ABTAO9	abtao	male	27.23	17.53	0.738489871	5.06	1	2	562.181465365055	2.2494443758404	5.97666666666667	159.523776433755	0.0727639250169332	0.055357620941578
40	FABTAO6	abtao	male	14.92	8.878	0.901343409	1.2	1	2	205.582100388142	1.09544511501033	-6.33333333333333	-197.075588543158	0.0370463480038833	0.0119669858622664
87	FABTAO1	abtao	female	14.88	7.704	0.345690454	0.61	1	1	180.155814913255	0.781024967590665	-0.282558139534883	-1.08496755862635	-0.0379392301644679	0.0226216050307467
88	FABTAO10	abtao	female	16.94	8.718	0.419452275	0.63	1	1	195.845677541693	0.793725393319377	1.77744186046512	14.6048950698119	-0.0193576454665527	0.0364763290836112
89	FABTAO11	abtao	female	14.08	7.546	0.302994297	0.51	1	1	174.104431135961	0.714142842854285	-1.08255813953488	-7.13635133592018	-0.0631190372055226	0.0146761255455156
90	FABTAO12	abtao	female	16.34	9.023	0.305129165	0.64	1	1	203.402527603012	0.8	1.17744186046512	22.1617451311313	-0.0510386339657511	0.0286024283485855
91	FABTAO13	abtao	female	14.52	7.888	0.319309123	0.48	1	1	175.093252465146	0.692820323027551	-0.642558139534884	-6.14753000673437	-0.0699694676189794	0.0457791452637469
92	FABTAO15	abtao	female	13.34	6.977	0.284776572	0.43	1	1	156.461985610488	0.6557438524302	-1.82255813953488	-24.7787968613931	-0.0563551589618934	0.0191504783881157
93	FABTAO16	abtao	female	14.28	7.058	0.389146091	0.49	1	1	164.878208170188	0.7	-0.882558139534884	-16.3625743016931	-0.0558022616192228	0.0325819729406588
94	FABTAO17	abtao	female	13.68	7.067	0.405368392	0.5	1	1	160.36355754421	0.707106781186548	-1.48255813953488	-20.8772249276704	-0.0142280365864817	0.0064119860750921
95	FABTAO18	abtao	female	14.76	6.781	0.401215003	0.45	1	1	160.980086455729	0.670820393249937	-0.402558139534884	-20.2606960161514	-0.0644905913668388	0.0484462106793445
